[2023-04-20 19:47:13] Opened Log File logs/2023-04-20_19-47-13_log.txt
[2023-04-20 19:47:14] DATA: {'ph': 9.18, 'ec': 7.43, 'temp': 27.19, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 19:47:17] Transitioned to conditioning mode -- Written by logger
[2023-04-20 19:47:18] DATA: {'ph': 9.15, 'ec': 7.85, 'temp': 27.19, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 19:47:21] DATA: {'ph': 9.18, 'ec': 7.64, 'temp': 27.19, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 19:47:24] DATA: {'ph': 9.18, 'ec': 7.64, 'temp': 27.19, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 19:47:27] DATA: {'ph': 9.15, 'ec': 7.85, 'temp': 27.19, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 19:47:30] DATA: {'ph': 9.18, 'ec': 7.64, 'temp': 27.19, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 19:47:33] DATA: {'ph': 9.23, 'ec': 7.85, 'temp': 27.19, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 19:47:36] DATA: {'ph': 7.23, 'ec': 11.56, 'temp': 27.19, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 19:47:39] DATA: {'ph': 5.91, 'ec': 9.5, 'temp': 27.19, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 19:47:42] DATA: {'ph': 6.04, 'ec': 12.18, 'temp': 27.19, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 19:47:45] DATA: {'ph': 7.89, 'ec': 31.8, 'temp': 27.19, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 19:47:48] DATA: {'ph': 9.07, 'ec': 47.29, 'temp': 27.19, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 19:47:51] DATA: {'ph': 9.48, 'ec': 51.0, 'temp': 27.19, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 19:47:54] DATA: {'ph': 9.67, 'ec': 63.39, 'temp': 27.19, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 19:47:57] DATA: {'ph': 9.73, 'ec': 94.98, 'temp': 27.19, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 1.0, 'flow': 0.0}
