[2023-04-20 23:03:35] Opened Log File logs/2023-04-20_23-03-35_log.txt
[2023-04-20 23:03:35] DATA: {'ph': 2.38, 'ec': 102.59, 'temp': 22.0, 'waterHigh': 0.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 23:03:39] Transitioned to filling mode -- Written by logger
[2023-04-20 23:03:39] DATA: {'ph': 2.49, 'ec': 102.13, 'temp': 22.0, 'waterHigh': 0.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 23:03:42] DATA: {'ph': 2.36, 'ec': 102.82, 'temp': 22.0, 'waterHigh': 0.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 23:03:45] DATA: {'ph': 2.41, 'ec': 101.91, 'temp': 22.0, 'waterHigh': 0.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 23:03:48] DATA: {'ph': 2.41, 'ec': 102.13, 'temp': 22.0, 'waterHigh': 0.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 23:03:51] DATA: {'ph': 2.36, 'ec': 102.82, 'temp': 22.0, 'waterHigh': 0.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 23:03:54] DATA: {'ph': 2.47, 'ec': 101.45, 'temp': 22.0, 'waterHigh': 0.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 23:03:57] DATA: {'ph': 2.36, 'ec': 103.04, 'temp': 22.0, 'waterHigh': 0.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 23:04:00] DATA: {'ph': 2.38, 'ec': 102.59, 'temp': 22.0, 'waterHigh': 0.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 23:04:03] DATA: {'ph': 2.47, 'ec': 101.91, 'temp': 22.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 23:04:03] ERROR: Flow meter disabled: Changing to freshwater watering
[2023-04-20 23:04:03] ERROR: Flow meter disabled: Changing to freshwater watering
[2023-04-20 23:04:03] Transitioned to conditioning mode -- Written by logger
[2023-04-20 23:04:06] DATA: {'ph': 2.38, 'ec': 99.4, 'temp': 22.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 23:04:09] DATA: {'ph': 2.47, 'ec': 102.68, 'temp': 21.5, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 23:04:12] DATA: {'ph': 2.49, 'ec': 102.91, 'temp': 21.5, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 23:04:15] DATA: {'ph': 2.41, 'ec': 103.14, 'temp': 21.5, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 23:04:18] DATA: {'ph': 2.49, 'ec': 102.91, 'temp': 21.5, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 23:04:21] DATA: {'ph': 2.44, 'ec': 103.37, 'temp': 21.5, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 23:04:24] DATA: {'ph': 2.44, 'ec': 102.91, 'temp': 21.5, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 23:04:27] DATA: {'ph': 2.52, 'ec': 102.91, 'temp': 21.5, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 23:04:30] DATA: {'ph': 2.38, 'ec': 103.37, 'temp': 21.5, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 23:04:33] DATA: {'ph': 2.49, 'ec': 102.45, 'temp': 21.5, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 23:04:36] DATA: {'ph': 2.44, 'ec': 103.14, 'temp': 21.5, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 23:04:39] DATA: {'ph': 2.41, 'ec': 103.14, 'temp': 21.5, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 23:04:42] DATA: {'ph': 2.52, 'ec': 102.45, 'temp': 21.5, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 23:04:45] DATA: {'ph': 2.44, 'ec': 103.6, 'temp': 21.5, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 23:04:48] DATA: {'ph': 2.49, 'ec': 102.68, 'temp': 21.5, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 23:04:51] DATA: {'ph': 2.49, 'ec': 102.68, 'temp': 21.5, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 23:04:54] DATA: {'ph': 2.44, 'ec': 103.14, 'temp': 21.5, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 23:04:57] DATA: {'ph': 2.49, 'ec': 101.99, 'temp': 21.5, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 23:05:00] DATA: {'ph': 2.47, 'ec': 102.22, 'temp': 21.5, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 23:05:03] DATA: {'ph': 2.47, 'ec': 102.68, 'temp': 21.5, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 23:05:06] DATA: {'ph': 2.49, 'ec': 103.14, 'temp': 21.5, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
