[2023-04-20 20:07:52] Opened Log File logs/2023-04-20_20-07-52_log.txt
[2023-04-20 20:07:52] DATA: {'ph': 9.84, 'ec': 118.46, 'temp': 25.06, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:07:55] Transitioned to conditioning mode -- Written by logger
[2023-04-20 20:07:56] DATA: {'ph': 9.81, 'ec': 118.53, 'temp': 25.12, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:07:59] DATA: {'ph': 9.81, 'ec': 119.1, 'temp': 25.06, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:08:02] DATA: {'ph': 9.78, 'ec': 118.46, 'temp': 25.06, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:08:05] DATA: {'ph': 9.81, 'ec': 118.53, 'temp': 25.12, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:08:08] DATA: {'ph': 9.78, 'ec': 118.46, 'temp': 25.06, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:08:11] DATA: {'ph': 9.78, 'ec': 118.46, 'temp': 25.06, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:08:14] DATA: {'ph': 9.78, 'ec': 118.32, 'temp': 25.12, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:08:17] DATA: {'ph': 9.78, 'ec': 118.53, 'temp': 25.12, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:08:20] DATA: {'ph': 9.81, 'ec': 118.46, 'temp': 25.06, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:08:23] DATA: {'ph': 9.78, 'ec': 118.67, 'temp': 25.06, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:08:26] DATA: {'ph': 9.81, 'ec': 118.46, 'temp': 25.06, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:08:29] DATA: {'ph': 9.81, 'ec': 118.46, 'temp': 25.06, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:08:32] DATA: {'ph': 9.81, 'ec': 118.24, 'temp': 25.06, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:08:35] DATA: {'ph': 9.81, 'ec': 118.32, 'temp': 25.12, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:08:38] DATA: {'ph': 9.78, 'ec': 118.46, 'temp': 25.06, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:08:41] DATA: {'ph': 9.78, 'ec': 118.32, 'temp': 25.12, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:08:44] DATA: {'ph': 9.76, 'ec': 118.24, 'temp': 25.06, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:08:47] DATA: {'ph': 9.76, 'ec': 118.46, 'temp': 25.06, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:08:50] DATA: {'ph': 9.76, 'ec': 118.46, 'temp': 25.06, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:08:53] DATA: {'ph': 9.76, 'ec': 118.67, 'temp': 25.06, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:08:56] DATA: {'ph': 9.73, 'ec': 118.46, 'temp': 25.06, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:08:59] DATA: {'ph': 9.76, 'ec': 118.46, 'temp': 25.06, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:09:02] DATA: {'ph': 9.78, 'ec': 118.32, 'temp': 25.12, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:09:05] DATA: {'ph': 9.81, 'ec': 118.46, 'temp': 25.06, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:09:08] DATA: {'ph': 9.81, 'ec': 118.46, 'temp': 25.06, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:09:11] DATA: {'ph': 9.81, 'ec': -7.27, 'temp': -1000.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:09:15] DATA: {'ph': 9.84, 'ec': 141.85, 'temp': 25.06, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:09:18] DATA: {'ph': 9.84, 'ec': -7.6, 'temp': -1000.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:09:21] DATA: {'ph': 9.78, 'ec': -7.8, 'temp': -1000.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:09:24] DATA: {'ph': 9.78, 'ec': 150.65, 'temp': 25.06, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
