[2023-04-20 22:51:32] Opened Log File logs/2023-04-20_22-51-32_log.txt
[2023-04-20 22:51:32] DATA: {'ph': 2.25, 'ec': 99.38, 'temp': 24.0, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 22:51:35] Transitioned to conditioning mode -- Written by logger
[2023-04-20 22:51:36] DATA: {'ph': 2.44, 'ec': 98.28, 'temp': 24.0, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 22:51:37] Transitioned to standby mode -- Written by logger
[2023-04-20 22:51:38] Transitioned to conditioning mode -- Written by logger
[2023-04-20 22:51:39] DATA: {'ph': 2.25, 'ec': 99.16, 'temp': 24.0, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 22:51:42] DATA: {'ph': 2.33, 'ec': 98.72, 'temp': 24.0, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 22:51:45] DATA: {'ph': 2.27, 'ec': 98.94, 'temp': 24.0, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 22:51:48] DATA: {'ph': 2.3, 'ec': 99.16, 'temp': 24.0, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 22:51:51] DATA: {'ph': 2.3, 'ec': 98.94, 'temp': 24.0, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 22:51:54] DATA: {'ph': 2.33, 'ec': 98.94, 'temp': 24.0, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 22:51:57] DATA: {'ph': 2.33, 'ec': 98.72, 'temp': 24.0, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 22:52:00] DATA: {'ph': 2.27, 'ec': 99.6, 'temp': 24.0, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 22:52:03] DATA: {'ph': 2.36, 'ec': 98.72, 'temp': 24.0, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 22:52:06] DATA: {'ph': 2.27, 'ec': 99.38, 'temp': 24.0, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 22:52:09] DATA: {'ph': 2.36, 'ec': 98.72, 'temp': 24.0, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 22:52:12] DATA: {'ph': 2.25, 'ec': 99.6, 'temp': 24.0, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 22:52:15] DATA: {'ph': 2.36, 'ec': 98.5, 'temp': 24.0, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 22:52:18] DATA: {'ph': 2.27, 'ec': 99.38, 'temp': 24.0, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 22:52:21] DATA: {'ph': 2.36, 'ec': 98.5, 'temp': 24.0, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 1.0, 'flow': 0.0}
