[2023-04-20 23:17:48] Opened Log File logs/2023-04-20_23-17-48_log.txt
[2023-04-20 23:17:48] DATA: {'ph': 2.91, 'ec': 100.0, 'temp': 21.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 23:17:52] Transitioned to conditioning mode -- Written by logger
[2023-04-20 23:17:52] DATA: {'ph': 3.04, 'ec': 99.3, 'temp': 21.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 23:17:56] DATA: {'ph': 2.82, 'ec': 100.46, 'temp': 21.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 23:17:58] Transitioned to standby mode -- Written by logger
[2023-04-20 23:17:58] Transitioned to conditioning mode -- Written by logger
[2023-04-20 23:17:59] DATA: {'ph': 3.04, 'ec': 99.53, 'temp': 21.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 23:18:02] DATA: {'ph': 2.93, 'ec': 100.23, 'temp': 21.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 23:18:05] DATA: {'ph': 2.93, 'ec': 100.46, 'temp': 21.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 23:18:08] DATA: {'ph': 3.1, 'ec': 99.07, 'temp': 21.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 23:18:11] DATA: {'ph': 2.91, 'ec': 100.23, 'temp': 21.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 23:18:14] DATA: {'ph': 2.96, 'ec': 99.77, 'temp': 21.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 23:18:17] DATA: {'ph': 3.04, 'ec': 99.3, 'temp': 21.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 23:18:20] DATA: {'ph': 2.85, 'ec': 100.69, 'temp': 21.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 23:18:23] DATA: {'ph': 3.07, 'ec': 99.3, 'temp': 21.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 23:18:26] DATA: {'ph': 2.93, 'ec': 100.23, 'temp': 21.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 23:18:29] DATA: {'ph': 2.96, 'ec': 99.77, 'temp': 21.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 23:18:32] DATA: {'ph': 3.04, 'ec': 99.3, 'temp': 21.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 23:18:35] DATA: {'ph': 2.88, 'ec': 100.46, 'temp': 21.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 23:18:38] DATA: {'ph': 3.07, 'ec': 99.3, 'temp': 21.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 23:18:41] DATA: {'ph': 2.85, 'ec': 100.46, 'temp': 21.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 23:18:44] DATA: {'ph': 3.04, 'ec': 99.53, 'temp': 21.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 23:18:47] DATA: {'ph': 2.96, 'ec': 100.0, 'temp': 21.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 23:18:50] DATA: {'ph': 2.99, 'ec': 99.77, 'temp': 21.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 23:18:53] DATA: {'ph': 3.02, 'ec': 99.53, 'temp': 21.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 23:18:56] DATA: {'ph': 2.91, 'ec': 100.46, 'temp': 21.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 23:18:59] DATA: {'ph': 3.07, 'ec': 99.3, 'temp': 21.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 23:19:02] DATA: {'ph': 2.88, 'ec': 100.23, 'temp': 21.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 23:19:05] DATA: {'ph': 3.07, 'ec': 99.53, 'temp': 21.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 23:19:08] DATA: {'ph': 2.91, 'ec': 100.23, 'temp': 21.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 23:19:11] DATA: {'ph': 3.02, 'ec': 99.53, 'temp': 21.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 23:19:14] DATA: {'ph': 3.07, 'ec': 99.3, 'temp': 21.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 23:19:17] DATA: {'ph': 2.88, 'ec': 99.7, 'temp': 21.5, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 23:19:20] DATA: {'ph': 3.07, 'ec': 99.3, 'temp': 21.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 23:19:23] DATA: {'ph': 2.91, 'ec': 100.23, 'temp': 21.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 23:19:26] DATA: {'ph': 3.02, 'ec': 99.77, 'temp': 21.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 23:19:29] DATA: {'ph': 3.02, 'ec': 99.53, 'temp': 21.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 23:19:32] DATA: {'ph': 2.88, 'ec': 100.93, 'temp': 21.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 23:19:35] DATA: {'ph': 3.13, 'ec': 98.84, 'temp': 21.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 23:19:38] DATA: {'ph': 2.88, 'ec': 100.69, 'temp': 21.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 23:19:41] DATA: {'ph': 3.04, 'ec': 99.53, 'temp': 21.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 23:19:44] DATA: {'ph': 2.85, 'ec': 100.23, 'temp': 21.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 23:19:47] DATA: {'ph': 3.07, 'ec': 100.46, 'temp': 21.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 23:19:50] DATA: {'ph': 3.02, 'ec': 99.53, 'temp': 21.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 23:19:53] DATA: {'ph': 2.96, 'ec': 99.77, 'temp': 21.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 23:19:56] DATA: {'ph': 3.02, 'ec': 99.07, 'temp': 21.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 23:19:59] DATA: {'ph': 2.88, 'ec': 99.53, 'temp': 21.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 23:20:02] DATA: {'ph': 3.13, 'ec': 99.07, 'temp': 21.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 23:20:05] DATA: {'ph': 2.88, 'ec': 100.69, 'temp': 21.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 23:20:08] DATA: {'ph': 3.1, 'ec': 99.53, 'temp': 21.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 23:20:11] DATA: {'ph': 2.93, 'ec': 100.0, 'temp': 21.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 23:20:14] DATA: {'ph': 2.99, 'ec': 99.77, 'temp': 21.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 23:20:17] DATA: {'ph': 3.1, 'ec': 99.07, 'temp': 21.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 23:20:20] DATA: {'ph': 2.85, 'ec': 100.69, 'temp': 21.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 23:20:23] DATA: {'ph': 3.1, 'ec': 99.3, 'temp': 21.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 23:20:26] DATA: {'ph': 2.91, 'ec': 100.0, 'temp': 21.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 23:20:29] DATA: {'ph': 2.96, 'ec': 99.77, 'temp': 21.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 23:20:32] DATA: {'ph': 3.02, 'ec': 99.53, 'temp': 21.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 23:20:35] DATA: {'ph': 2.88, 'ec': 100.69, 'temp': 21.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 23:20:38] DATA: {'ph': 3.1, 'ec': 99.3, 'temp': 21.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 23:20:40] Transitioned to standby mode -- Written by logger
[2023-04-20 23:20:40] Transitioned to conditioning mode -- Written by logger
[2023-04-20 23:20:41] DATA: {'ph': 2.85, 'ec': 100.46, 'temp': 21.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 23:20:44] DATA: {'ph': 3.04, 'ec': 99.53, 'temp': 21.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 23:20:47] DATA: {'ph': 2.96, 'ec': 99.77, 'temp': 21.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 23:20:50] DATA: {'ph': 2.99, 'ec': 100.0, 'temp': 21.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 23:20:53] DATA: {'ph': 3.1, 'ec': 99.07, 'temp': 21.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 23:20:56] DATA: {'ph': 2.85, 'ec': 100.69, 'temp': 21.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 23:20:59] DATA: {'ph': 3.1, 'ec': 99.3, 'temp': 21.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 23:21:02] DATA: {'ph': 2.91, 'ec': 100.0, 'temp': 21.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 23:21:05] DATA: {'ph': 2.96, 'ec': 100.0, 'temp': 21.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 23:21:08] DATA: {'ph': 3.07, 'ec': 99.07, 'temp': 21.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 23:21:11] DATA: {'ph': 2.82, 'ec': 100.46, 'temp': 21.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 23:21:14] DATA: {'ph': 3.02, 'ec': 99.3, 'temp': 21.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 23:21:17] DATA: {'ph': 3.04, 'ec': 99.07, 'temp': 21.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 23:21:20] DATA: {'ph': 2.85, 'ec': 100.69, 'temp': 21.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 23:21:23] DATA: {'ph': 3.04, 'ec': 99.3, 'temp': 21.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 23:21:26] DATA: {'ph': 3.04, 'ec': 99.07, 'temp': 21.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 23:21:29] DATA: {'ph': 2.88, 'ec': 100.69, 'temp': 21.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 23:21:32] DATA: {'ph': 3.07, 'ec': 99.3, 'temp': 21.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 23:21:35] DATA: {'ph': 2.96, 'ec': 99.77, 'temp': 21.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 23:21:38] DATA: {'ph': 2.88, 'ec': 100.69, 'temp': 21.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 23:21:41] DATA: {'ph': 3.13, 'ec': 99.07, 'temp': 21.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 23:21:44] DATA: {'ph': 2.85, 'ec': 100.46, 'temp': 21.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 23:21:47] DATA: {'ph': 3.07, 'ec': 99.53, 'temp': 21.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 23:21:50] DATA: {'ph': 2.93, 'ec': 100.0, 'temp': 21.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 23:21:53] DATA: {'ph': 2.96, 'ec': 100.0, 'temp': 21.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
