[2023-04-07 14:11:03] Opened Log File logs/2023-04-07_14-11-03_log.txt
[2023-04-07 14:11:04] DATA: {'ph': 4.58, 'ec': 100.36, 'temp': 19.31, 'waterHigh': 0.0, 'waterMid': 1.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-07 14:11:57] DATA: {'ph': 4.58, 'ec': 100.61, 'temp': 19.31, 'waterHigh': 0.0, 'waterMid': 1.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-07 14:12:00] Transitioned to filling mode -- Written by logger
[2023-04-07 14:12:01] DATA: {'ph': 4.64, 'ec': 100.12, 'temp': 19.31, 'waterHigh': 0.0, 'waterMid': 1.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-07 14:12:02] Transitioned to shutdown mode -- Written by logger
[2023-04-07 14:12:04] DATA: {'ph': 4.61, 'ec': 100.24, 'temp': 19.37, 'waterHigh': 0.0, 'waterMid': 1.0, 'waterLow': 0.0, 'flow': 0.0}
[2023-04-07 14:12:07] DATA: {'ph': 4.61, 'ec': 100.36, 'temp': 19.31, 'waterHigh': 0.0, 'waterMid': 1.0, 'waterLow': 0.0, 'flow': 0.0}
[2023-04-07 14:12:10] DATA: {'ph': 4.58, 'ec': 100.61, 'temp': 19.31, 'waterHigh': 0.0, 'waterMid': 1.0, 'waterLow': 0.0, 'flow': 0.0}
[2023-04-07 14:12:13] DATA: {'ph': 4.58, 'ec': 100.36, 'temp': 19.31, 'waterHigh': 0.0, 'waterMid': 1.0, 'waterLow': 0.0, 'flow': 0.0}
[2023-04-07 14:12:16] DATA: {'ph': 4.58, 'ec': 100.61, 'temp': 19.31, 'waterHigh': 0.0, 'waterMid': 1.0, 'waterLow': 0.0, 'flow': 0.0}
[2023-04-07 14:12:19] DATA: {'ph': 4.61, 'ec': 100.48, 'temp': 19.37, 'waterHigh': 0.0, 'waterMid': 1.0, 'waterLow': 0.0, 'flow': 0.0}
[2023-04-07 14:12:22] DATA: {'ph': 4.58, 'ec': 100.61, 'temp': 19.31, 'waterHigh': 0.0, 'waterMid': 1.0, 'waterLow': 0.0, 'flow': 0.0}
[2023-04-07 14:12:25] DATA: {'ph': 4.61, 'ec': 100.48, 'temp': 19.37, 'waterHigh': 0.0, 'waterMid': 1.0, 'waterLow': 0.0, 'flow': 0.0}
[2023-04-07 14:12:28] DATA: {'ph': 4.58, 'ec': 100.48, 'temp': 19.37, 'waterHigh': 0.0, 'waterMid': 1.0, 'waterLow': 0.0, 'flow': 0.0}
[2023-04-07 14:12:31] DATA: {'ph': 4.61, 'ec': 100.61, 'temp': 19.31, 'waterHigh': 0.0, 'waterMid': 1.0, 'waterLow': 0.0, 'flow': 0.0}
[2023-04-07 14:12:34] DATA: {'ph': 4.61, 'ec': 100.48, 'temp': 19.37, 'waterHigh': 0.0, 'waterMid': 1.0, 'waterLow': 0.0, 'flow': 0.0}
[2023-04-07 14:12:37] DATA: {'ph': 4.58, 'ec': 100.61, 'temp': 19.31, 'waterHigh': 0.0, 'waterMid': 1.0, 'waterLow': 0.0, 'flow': 0.0}
[2023-04-07 14:12:40] DATA: {'ph': 4.61, 'ec': 100.85, 'temp': 19.31, 'waterHigh': 0.0, 'waterMid': 1.0, 'waterLow': 0.0, 'flow': 0.0}
[2023-04-07 14:12:43] DATA: {'ph': 4.58, 'ec': 100.61, 'temp': 19.31, 'waterHigh': 0.0, 'waterMid': 1.0, 'waterLow': 0.0, 'flow': 0.0}
[2023-04-07 14:12:46] DATA: {'ph': 4.58, 'ec': 100.72, 'temp': 19.37, 'waterHigh': 0.0, 'waterMid': 1.0, 'waterLow': 0.0, 'flow': 0.0}
[2023-04-07 14:12:49] DATA: {'ph': 4.58, 'ec': 100.61, 'temp': 19.31, 'waterHigh': 0.0, 'waterMid': 1.0, 'waterLow': 0.0, 'flow': 0.0}
[2023-04-07 14:12:52] DATA: {'ph': 4.58, 'ec': 100.85, 'temp': 19.31, 'waterHigh': 0.0, 'waterMid': 1.0, 'waterLow': 0.0, 'flow': 0.0}
