[2023-04-07 11:08:12] Opened Log File logs/2023-04-07_11-08-12_log.txt
[2023-04-07 11:08:12] DATA: {'ph': 4.23, 'ec': 104.55, 'temp': 19.37, 'waterHigh': 0.0, 'waterMid': 1.0, 'waterLow': 0.0, 'flow': 0.0}
[2023-04-07 11:08:17] DATA: {'ph': 4.23, 'ec': 104.55, 'temp': 19.37, 'waterHigh': 0.0, 'waterMid': 1.0, 'waterLow': 0.0, 'flow': 0.0}
[2023-04-07 11:08:20] Transitioned to filling mode -- Written by logger
[2023-04-07 11:08:20] DATA: {'ph': 4.25, 'ec': 104.55, 'temp': 19.37, 'waterHigh': 0.0, 'waterMid': 1.0, 'waterLow': 0.0, 'flow': 0.0}
[2023-04-07 11:08:23] DATA: {'ph': 4.2, 'ec': 104.69, 'temp': 19.31, 'waterHigh': 0.0, 'waterMid': 1.0, 'waterLow': 0.0, 'flow': 0.0}
[2023-04-07 11:08:26] DATA: {'ph': 4.23, 'ec': 104.31, 'temp': 19.37, 'waterHigh': 0.0, 'waterMid': 1.0, 'waterLow': 0.0, 'flow': 0.0}
[2023-04-07 11:08:28] ERROR: Flow meter disabled: Changing to freshwater watering
[2023-04-07 11:08:28] ERROR: Flow meter disabled: Changing to freshwater watering
[2023-04-07 11:08:28] Transitioned to conditioning mode -- Written by logger
[2023-04-07 11:08:29] DATA: {'ph': 4.45, 'ec': 104.45, 'temp': 19.31, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 0.0, 'flow': 0.0}
[2023-04-07 11:08:32] DATA: {'ph': 4.2, 'ec': 104.93, 'temp': 19.31, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 0.0, 'flow': 0.0}
[2023-04-07 11:08:35] DATA: {'ph': 4.17, 'ec': 105.03, 'temp': 19.37, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 0.0, 'flow': 0.0}
[2023-04-07 11:08:38] DATA: {'ph': 4.14, 'ec': 105.65, 'temp': 19.31, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 0.0, 'flow': 0.0}
[2023-04-07 11:08:41] DATA: {'ph': 4.14, 'ec': 105.65, 'temp': 19.31, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 0.0, 'flow': 0.0}
[2023-04-07 11:08:44] DATA: {'ph': 4.09, 'ec': 105.51, 'temp': 19.37, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 0.0, 'flow': 0.0}
[2023-04-07 11:08:47] DATA: {'ph': 4.12, 'ec': 105.65, 'temp': 19.31, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 0.0, 'flow': 0.0}
