[2023-04-20 20:39:26] Opened Log File logs/2023-04-20_20-39-26_log.txt
[2023-04-20 20:41:04] DATA: {'ph': 1.94, 'ec': -5.63, 'temp': -1000.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:41:07] DATA: {'ph': 1.97, 'ec': -5.49, 'temp': -1000.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:41:10] DATA: {'ph': 1.97, 'ec': -5.6, 'temp': -1000.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:41:13] DATA: {'ph': 1.92, 'ec': -5.61, 'temp': -1000.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:41:16] DATA: {'ph': 1.97, 'ec': -5.5, 'temp': -1000.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:41:19] DATA: {'ph': 2.0, 'ec': -5.6, 'temp': -1000.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:41:22] DATA: {'ph': 1.97, 'ec': -5.48, 'temp': -1000.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:41:25] DATA: {'ph': 1.97, 'ec': -5.55, 'temp': -1000.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:41:28] DATA: {'ph': 1.97, 'ec': -5.51, 'temp': -1000.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:41:31] DATA: {'ph': 2.0, 'ec': -5.56, 'temp': -1000.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:41:34] DATA: {'ph': 1.97, 'ec': -5.49, 'temp': -1000.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:41:37] DATA: {'ph': 2.0, 'ec': -5.56, 'temp': -1000.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:41:40] DATA: {'ph': 2.0, 'ec': -5.49, 'temp': -1000.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:41:43] DATA: {'ph': -0.81, 'ec': -6.41, 'temp': -1000.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:41:46] DATA: {'ph': 1.86, 'ec': -5.84, 'temp': -1000.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:41:49] DATA: {'ph': 1.94, 'ec': -5.6, 'temp': -1000.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:41:52] DATA: {'ph': 1.89, 'ec': -5.5, 'temp': -1000.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:41:55] DATA: {'ph': 1.94, 'ec': -5.59, 'temp': -1000.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:41:58] DATA: {'ph': 2.0, 'ec': -5.49, 'temp': -1000.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:42:01] DATA: {'ph': 1.94, 'ec': -5.56, 'temp': -1000.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:42:04] DATA: {'ph': 2.0, 'ec': -5.49, 'temp': -1000.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:42:07] DATA: {'ph': 2.0, 'ec': -5.56, 'temp': -1000.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:42:10] DATA: {'ph': 1.94, 'ec': -5.5, 'temp': -1000.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:42:13] DATA: {'ph': 1.94, 'ec': -5.57, 'temp': -1000.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:42:16] DATA: {'ph': 1.94, 'ec': -5.51, 'temp': -1000.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:42:19] DATA: {'ph': 1.92, 'ec': -5.57, 'temp': -1000.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:42:22] DATA: {'ph': 1.94, 'ec': -5.53, 'temp': -1000.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:42:25] DATA: {'ph': 1.89, 'ec': -5.56, 'temp': -1000.0, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:42:28] DATA: {'ph': 1.89, 'ec': -5.53, 'temp': -1000.0, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:42:31] DATA: {'ph': 1.86, 'ec': -5.57, 'temp': -1000.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:42:34] DATA: {'ph': 1.92, 'ec': -5.55, 'temp': -1000.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:42:37] DATA: {'ph': 1.89, 'ec': -5.55, 'temp': -1000.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:42:40] DATA: {'ph': 1.94, 'ec': -5.54, 'temp': -1000.0, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:42:43] DATA: {'ph': 1.94, 'ec': -2.86, 'temp': -1000.0, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:42:46] DATA: {'ph': 1.94, 'ec': -7.91, 'temp': -1000.0, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:42:49] DATA: {'ph': 1.94, 'ec': -3.19, 'temp': -1000.0, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:42:52] DATA: {'ph': 1.97, 'ec': -8.17, 'temp': -1000.0, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:42:55] DATA: {'ph': 1.94, 'ec': 129.75, 'temp': 19.19, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:42:58] DATA: {'ph': 1.94, 'ec': 112.81, 'temp': 19.12, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:43:01] DATA: {'ph': 1.97, 'ec': 111.99, 'temp': 19.06, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:43:04] DATA: {'ph': 1.97, 'ec': 106.85, 'temp': 21.37, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:43:07] DATA: {'ph': 1.97, 'ec': 102.36, 'temp': 23.25, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:43:10] DATA: {'ph': 1.97, 'ec': 101.49, 'temp': 23.81, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:43:13] DATA: {'ph': 2.0, 'ec': 100.24, 'temp': 24.12, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:43:16] DATA: {'ph': 1.97, 'ec': 100.75, 'temp': 24.31, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:43:19] DATA: {'ph': 2.0, 'ec': 99.98, 'temp': 24.37, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:43:22] DATA: {'ph': 1.94, 'ec': 100.2, 'temp': 24.37, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:43:25] DATA: {'ph': 1.97, 'ec': 100.08, 'temp': 24.44, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:43:28] DATA: {'ph': 1.97, 'ec': 99.87, 'temp': 24.44, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:43:31] DATA: {'ph': 1.97, 'ec': 100.08, 'temp': 24.44, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:43:34] DATA: {'ph': 1.94, 'ec': 99.75, 'temp': 24.5, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:43:37] DATA: {'ph': 1.97, 'ec': 100.18, 'temp': 24.5, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:43:40] DATA: {'ph': 2.0, 'ec': 99.53, 'temp': 24.5, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:43:43] DATA: {'ph': 1.97, 'ec': 101.11, 'temp': 24.12, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:43:46] DATA: {'ph': 1.97, 'ec': 101.21, 'temp': 23.5, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 1.0, 'flow': 0.0}
