[2023-04-20 23:52:00] Opened Log File logs/2023-04-20_23-52-00_log.txt
[2023-04-20 23:52:00] DATA: {'ph': 5.49, 'ec': 78.48, 'temp': 22.0, 'waterHigh': 0.0, 'waterMid': 0.0, 'waterLow': 0.0, 'flow': 0.0}
[2023-04-20 23:52:06] Transitioned to filling mode -- Written by logger
[2023-04-20 23:52:07] DATA: {'ph': 5.46, 'ec': 78.7, 'temp': 22.0, 'waterHigh': 0.0, 'waterMid': 0.0, 'waterLow': 0.0, 'flow': 0.0}
[2023-04-20 23:52:10] DATA: {'ph': 5.52, 'ec': 81.66, 'temp': 22.0, 'waterHigh': 0.0, 'waterMid': 0.0, 'waterLow': 0.0, 'flow': 0.0}
[2023-04-20 23:52:13] DATA: {'ph': 5.49, 'ec': 78.25, 'temp': 22.0, 'waterHigh': 0.0, 'waterMid': 0.0, 'waterLow': 0.0, 'flow': 0.0}
[2023-04-20 23:52:14] ERROR: Flow meter disabled: Changing to freshwater watering
[2023-04-20 23:52:14] ERROR: Flow meter disabled: Changing to freshwater watering
[2023-04-20 23:52:14] Transitioned to conditioning mode -- Written by logger
[2023-04-20 23:52:16] DATA: {'ph': 5.66, 'ec': 73.93, 'temp': 22.0, 'waterHigh': 0.0, 'waterMid': 1.0, 'waterLow': 0.0, 'flow': 0.0}
[2023-04-20 23:52:19] DATA: {'ph': 5.66, 'ec': 77.79, 'temp': 22.0, 'waterHigh': 0.0, 'waterMid': 1.0, 'waterLow': 0.0, 'flow': 0.0}
[2023-04-20 23:52:22] DATA: {'ph': 5.74, 'ec': 78.93, 'temp': 22.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 0.0, 'flow': 0.0}
[2023-04-20 23:52:25] DATA: {'ph': 5.55, 'ec': 79.16, 'temp': 22.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 0.0, 'flow': 0.0}
[2023-04-20 23:52:28] DATA: {'ph': 5.57, 'ec': 80.07, 'temp': 22.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 0.0, 'flow': 0.0}
[2023-04-20 23:52:31] DATA: {'ph': 5.55, 'ec': 79.84, 'temp': 22.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 0.0, 'flow': 0.0}
[2023-04-20 23:52:34] DATA: {'ph': 5.55, 'ec': 78.84, 'temp': 22.5, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 0.0, 'flow': 0.0}
[2023-04-20 23:52:37] DATA: {'ph': 5.52, 'ec': 78.62, 'temp': 22.5, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 0.0, 'flow': 0.0}
[2023-04-20 23:52:40] DATA: {'ph': 5.49, 'ec': 77.64, 'temp': 23.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 0.0, 'flow': 0.0}
[2023-04-20 23:52:43] DATA: {'ph': 5.49, 'ec': 79.65, 'temp': 23.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 0.0, 'flow': 0.0}
[2023-04-20 23:52:46] DATA: {'ph': 5.49, 'ec': 76.9, 'temp': 23.5, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 0.0, 'flow': 0.0}
[2023-04-20 23:52:49] DATA: {'ph': 5.46, 'ec': 78.36, 'temp': 24.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 0.0, 'flow': 0.0}
[2023-04-20 23:52:52] DATA: {'ph': 5.46, 'ec': 74.34, 'temp': 25.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 0.0, 'flow': 0.0}
[2023-04-20 23:52:56] DATA: {'ph': 5.46, 'ec': 76.63, 'temp': 25.5, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 0.0, 'flow': 0.0}
[2023-04-20 23:52:59] DATA: {'ph': 5.46, 'ec': 74.29, 'temp': 25.5, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 0.0, 'flow': 0.0}
[2023-04-20 23:53:02] DATA: {'ph': 5.46, 'ec': 75.31, 'temp': 26.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 0.0, 'flow': 0.0}
[2023-04-20 23:53:05] DATA: {'ph': 5.49, 'ec': 72.33, 'temp': 26.5, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 0.0, 'flow': 0.0}
[2023-04-20 23:53:08] DATA: {'ph': 5.46, 'ec': 73.55, 'temp': 27.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 0.0, 'flow': 0.0}
[2023-04-20 23:53:11] DATA: {'ph': 5.49, 'ec': 72.69, 'temp': 27.5, 'waterHigh': 0.0, 'waterMid': 0.0, 'waterLow': 0.0, 'flow': 0.0}
[2023-04-20 23:53:14] DATA: {'ph': 5.57, 'ec': 72.69, 'temp': 27.5, 'waterHigh': 0.0, 'waterMid': 0.0, 'waterLow': 0.0, 'flow': 0.0}
[2023-04-20 23:53:17] DATA: {'ph': 5.52, 'ec': 72.28, 'temp': 27.5, 'waterHigh': 0.0, 'waterMid': 0.0, 'waterLow': 0.0, 'flow': 0.0}
[2023-04-20 23:53:20] DATA: {'ph': 5.52, 'ec': 71.87, 'temp': 27.5, 'waterHigh': 0.0, 'waterMid': 0.0, 'waterLow': 0.0, 'flow': 0.0}
[2023-04-20 23:53:23] DATA: {'ph': 5.46, 'ec': 73.55, 'temp': 27.0, 'waterHigh': 0.0, 'waterMid': 0.0, 'waterLow': 0.0, 'flow': 0.0}
[2023-04-20 23:53:26] DATA: {'ph': 5.35, 'ec': 72.72, 'temp': 27.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 0.0, 'flow': 0.0}
[2023-04-20 23:53:29] DATA: {'ph': 5.52, 'ec': 74.17, 'temp': 27.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 0.0, 'flow': 0.0}
[2023-04-20 23:53:32] DATA: {'ph': 5.46, 'ec': 72.31, 'temp': 27.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 0.0, 'flow': 0.0}
