[2023-04-20 23:33:02] Opened Log File logs/2023-04-20_23-33-02_log.txt
[2023-04-20 23:33:02] DATA: {'ph': 5.93, 'ec': 79.35, 'temp': 21.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 23:33:05] Transitioned to conditioning mode -- Written by logger
[2023-04-20 23:33:06] DATA: {'ph': 6.21, 'ec': 77.72, 'temp': 21.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 23:33:09] Transitioned to standby mode -- Written by logger
[2023-04-20 23:33:09] Transitioned to conditioning mode -- Written by logger
[2023-04-20 23:33:09] DATA: {'ph': 5.93, 'ec': 79.58, 'temp': 21.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 23:33:12] DATA: {'ph': 6.15, 'ec': 78.19, 'temp': 21.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 23:33:15] DATA: {'ph': 6.07, 'ec': 78.65, 'temp': 21.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 23:33:18] DATA: {'ph': 6.07, 'ec': 78.42, 'temp': 21.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 23:33:21] DATA: {'ph': 6.18, 'ec': 77.72, 'temp': 21.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 23:33:24] DATA: {'ph': 5.96, 'ec': 79.35, 'temp': 21.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 23:33:27] DATA: {'ph': 6.21, 'ec': 77.72, 'temp': 21.0, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
