[2023-04-21 13:03:42] Opened Log File logs/2023-04-21_13-03-42_log.txt
[2023-04-21 13:03:42] DATA: {'ph': 2.41, 'ec': 111.6, 'temp': 18.5, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-21 13:03:45] Transitioned to conditioning mode -- Written by logger
[2023-04-21 13:03:46] DATA: {'ph': 2.44, 'ec': 110.14, 'temp': 18.5, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-21 13:03:49] DATA: {'ph': 2.38, 'ec': 106.72, 'temp': 18.5, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-21 13:03:52] DATA: {'ph': 2.44, 'ec': 108.19, 'temp': 18.5, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-21 13:03:55] DATA: {'ph': 2.49, 'ec': 108.92, 'temp': 18.5, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-21 13:03:58] DATA: {'ph': 2.38, 'ec': 110.14, 'temp': 18.5, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-21 13:04:01] DATA: {'ph': 2.41, 'ec': 110.63, 'temp': 18.5, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-21 13:04:04] DATA: {'ph': 2.49, 'ec': 107.45, 'temp': 18.5, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-21 13:04:07] DATA: {'ph': 2.41, 'ec': 110.63, 'temp': 18.5, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-21 13:04:10] DATA: {'ph': 2.38, 'ec': 108.27, 'temp': 19.0, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-21 13:04:13] DATA: {'ph': 2.49, 'ec': 107.7, 'temp': 18.5, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-21 13:04:16] DATA: {'ph': 2.47, 'ec': 108.92, 'temp': 18.5, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-21 13:04:19] DATA: {'ph': 2.44, 'ec': 109.89, 'temp': 18.5, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-21 13:04:22] DATA: {'ph': 2.47, 'ec': 107.94, 'temp': 18.5, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-21 13:04:25] DATA: {'ph': 2.49, 'ec': 110.14, 'temp': 18.5, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-21 13:04:28] DATA: {'ph': 2.38, 'ec': 108.75, 'temp': 19.0, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 1.0, 'flow': 0.0}
