[2023-04-07 12:10:55] Opened Log File logs/2023-04-07_12-10-55_log.txt
[2023-04-07 12:10:56] DATA: {'ph': 4.67, 'ec': 101.22, 'temp': 19.25, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 0.0, 'flow': 0.0}
[2023-04-07 12:10:59] Transitioned to conditioning mode -- Written by logger
[2023-04-07 12:11:00] DATA: {'ph': 4.69, 'ec': 100.98, 'temp': 19.25, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 0.0, 'flow': 0.0}
[2023-04-07 12:11:03] DATA: {'ph': 4.69, 'ec': 100.98, 'temp': 19.25, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 0.0, 'flow': 0.0}
[2023-04-07 12:11:06] DATA: {'ph': 4.69, 'ec': 100.74, 'temp': 19.25, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 0.0, 'flow': 0.0}
[2023-04-07 12:11:09] DATA: {'ph': 4.69, 'ec': 100.74, 'temp': 19.25, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 0.0, 'flow': 0.0}
[2023-04-07 12:11:12] DATA: {'ph': 4.69, 'ec': 100.74, 'temp': 19.25, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 0.0, 'flow': 0.0}
[2023-04-07 12:11:14] Transitioned to shutdown mode -- Written by logger
[2023-04-07 12:11:15] DATA: {'ph': 4.72, 'ec': 100.49, 'temp': 19.25, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 0.0, 'flow': 0.0}
[2023-04-07 12:11:18] Transitioned to shutdown mode -- Written by logger
[2023-04-07 12:11:18] DATA: {'ph': 4.72, 'ec': 100.49, 'temp': 19.25, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 0.0, 'flow': 0.0}
[2023-04-07 12:11:21] DATA: {'ph': 4.69, 'ec': 100.74, 'temp': 19.25, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 0.0, 'flow': 0.0}
[2023-04-07 12:11:24] DATA: {'ph': 4.69, 'ec': 100.74, 'temp': 19.25, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 0.0, 'flow': 0.0}
[2023-04-07 12:11:27] DATA: {'ph': 4.69, 'ec': 100.74, 'temp': 19.25, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 0.0, 'flow': 0.0}
[2023-04-07 12:11:30] DATA: {'ph': 4.72, 'ec': 100.49, 'temp': 19.25, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 0.0, 'flow': 0.0}
[2023-04-07 12:11:33] DATA: {'ph': 4.72, 'ec': 100.74, 'temp': 19.25, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 0.0, 'flow': 0.0}
[2023-04-07 12:11:36] DATA: {'ph': 4.75, 'ec': 100.49, 'temp': 19.25, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 0.0, 'flow': 0.0}
[2023-04-07 12:11:39] DATA: {'ph': 4.75, 'ec': 100.25, 'temp': 19.25, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 0.0, 'flow': 0.0}
[2023-04-07 12:11:42] DATA: {'ph': 4.72, 'ec': 100.49, 'temp': 19.25, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 0.0, 'flow': 0.0}
[2023-04-07 12:11:45] DATA: {'ph': 4.69, 'ec': 100.74, 'temp': 19.25, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 0.0, 'flow': 0.0}
[2023-04-07 12:11:48] DATA: {'ph': 4.69, 'ec': 100.74, 'temp': 19.25, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 0.0, 'flow': 0.0}
[2023-04-07 12:11:51] DATA: {'ph': 4.72, 'ec': 100.49, 'temp': 19.25, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 0.0, 'flow': 0.0}
[2023-04-07 12:11:54] DATA: {'ph': 4.72, 'ec': 100.74, 'temp': 19.25, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 0.0, 'flow': 0.0}
[2023-04-07 12:11:57] DATA: {'ph': 4.69, 'ec': 100.98, 'temp': 19.25, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 0.0, 'flow': 0.0}
[2023-04-07 12:12:00] DATA: {'ph': 4.67, 'ec': 100.98, 'temp': 19.25, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 0.0, 'flow': 0.0}
[2023-04-07 12:12:03] DATA: {'ph': 4.67, 'ec': 100.98, 'temp': 19.25, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 0.0, 'flow': 0.0}
[2023-04-07 12:12:06] DATA: {'ph': 4.69, 'ec': 101.22, 'temp': 19.25, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 0.0, 'flow': 0.0}
[2023-04-07 12:12:09] DATA: {'ph': 4.67, 'ec': 100.98, 'temp': 19.25, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 0.0, 'flow': 0.0}
[2023-04-07 12:12:12] DATA: {'ph': 4.69, 'ec': 101.22, 'temp': 19.25, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 0.0, 'flow': 0.0}
[2023-04-07 12:12:15] DATA: {'ph': 4.72, 'ec': 100.74, 'temp': 19.25, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 0.0, 'flow': 0.0}
[2023-04-07 12:12:18] DATA: {'ph': 4.69, 'ec': 100.74, 'temp': 19.25, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 0.0, 'flow': 0.0}
[2023-04-07 12:12:21] DATA: {'ph': 4.69, 'ec': 100.74, 'temp': 19.25, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 0.0, 'flow': 0.0}
[2023-04-07 12:12:24] DATA: {'ph': 4.69, 'ec': 100.74, 'temp': 19.25, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 0.0, 'flow': 0.0}
[2023-04-07 12:12:27] DATA: {'ph': 4.72, 'ec': 100.49, 'temp': 19.25, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 0.0, 'flow': 0.0}
[2023-04-07 12:12:30] DATA: {'ph': 4.72, 'ec': 100.74, 'temp': 19.25, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 0.0, 'flow': 0.0}
[2023-04-07 12:12:33] DATA: {'ph': 4.72, 'ec': 100.74, 'temp': 19.25, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 0.0, 'flow': 0.0}
[2023-04-07 12:12:36] DATA: {'ph': 4.72, 'ec': 100.74, 'temp': 19.25, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 0.0, 'flow': 0.0}
[2023-04-07 12:12:39] DATA: {'ph': 4.72, 'ec': 100.49, 'temp': 19.25, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 0.0, 'flow': 0.0}
[2023-04-07 12:12:42] DATA: {'ph': 4.72, 'ec': 100.12, 'temp': 19.31, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 0.0, 'flow': 0.0}
