[2023-04-07 11:13:49] Opened Log File logs/2023-04-07_11-13-49_log.txt
[2023-04-07 11:13:49] DATA: {'ph': 4.2, 'ec': 105.37, 'temp': 19.0, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 0.0, 'flow': 0.0}
[2023-04-07 11:13:52] Transitioned to conditioning mode -- Written by logger
[2023-04-07 11:13:53] DATA: {'ph': 4.2, 'ec': 105.37, 'temp': 19.0, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 0.0, 'flow': 0.0}
[2023-04-07 11:13:56] DATA: {'ph': 4.2, 'ec': 105.37, 'temp': 19.0, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 0.0, 'flow': 0.0}
[2023-04-07 11:13:59] DATA: {'ph': 4.23, 'ec': 105.37, 'temp': 19.0, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 0.0, 'flow': 0.0}
[2023-04-07 11:13:59] Transitioned to shutdown mode -- Written by logger
[2023-04-07 11:14:02] DATA: {'ph': 4.23, 'ec': 105.37, 'temp': 19.0, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 0.0, 'flow': 0.0}
[2023-04-07 11:14:03] Transitioned to shutdown mode -- Written by logger
[2023-04-07 11:14:05] DATA: {'ph': 4.2, 'ec': 105.37, 'temp': 19.0, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 0.0, 'flow': 0.0}
[2023-04-07 11:14:08] DATA: {'ph': 4.2, 'ec': 105.13, 'temp': 19.0, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 0.0, 'flow': 0.0}
[2023-04-07 11:14:11] DATA: {'ph': 4.2, 'ec': 105.61, 'temp': 19.0, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 0.0, 'flow': 0.0}
[2023-04-07 11:14:14] DATA: {'ph': 4.2, 'ec': 105.13, 'temp': 19.0, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 0.0, 'flow': 0.0}
[2023-04-07 11:14:17] DATA: {'ph': 4.17, 'ec': 105.37, 'temp': 19.0, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 0.0, 'flow': 0.0}
[2023-04-07 11:14:20] DATA: {'ph': 4.2, 'ec': 105.61, 'temp': 19.0, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 0.0, 'flow': 0.0}
[2023-04-07 11:14:23] DATA: {'ph': 4.17, 'ec': 105.85, 'temp': 19.0, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 0.0, 'flow': 0.0}
[2023-04-07 11:14:26] DATA: {'ph': 4.14, 'ec': 105.61, 'temp': 19.0, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 0.0, 'flow': 0.0}
[2023-04-07 11:14:29] DATA: {'ph': 4.2, 'ec': 105.13, 'temp': 19.0, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 0.0, 'flow': 0.0}
[2023-04-07 11:14:32] DATA: {'ph': 4.23, 'ec': 105.13, 'temp': 19.0, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 0.0, 'flow': 0.0}
[2023-04-07 11:14:35] DATA: {'ph': 4.25, 'ec': 105.13, 'temp': 19.0, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 0.0, 'flow': 0.0}
[2023-04-07 11:14:38] DATA: {'ph': 4.23, 'ec': 104.88, 'temp': 19.0, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 0.0, 'flow': 0.0}
[2023-04-07 11:14:41] DATA: {'ph': 4.2, 'ec': 105.37, 'temp': 19.0, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 0.0, 'flow': 0.0}
[2023-04-07 11:14:44] DATA: {'ph': 4.23, 'ec': 105.13, 'temp': 19.0, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 0.0, 'flow': 0.0}
